FUNCIÓN_DENOMINACIÓN,TIPO_URG,CENTRO_GESTOR,MES_1,MES_2,MES_3,MES_4,MES_5,MES_6,MES_7,MES_8,MES_9,MES_10,MES_11,MES_12
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,DEPENDENCIAS,SECRETARÍA DE EDUCACIÓN DEL DISTRITO FEDERAL,"13,981","62,787","305,252","323,978","560,283","664,620","704,144","898,431",0,0,0,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,DEPENDENCIAS,SECRETARÍA DE FINANZAS DEL DISTRITO FEDERAL,"2,296,896","5,170,588","9,616,952","14,440,214","19,406,097","25,801,484","30,433,466","34,472,454",0,0,0,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,DEPENDENCIAS,SECRETARÍA DE GOBIERNO DEL DISTRITO FEDERAL,0,0,0,0,0,0,0,0,0,0,0,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,DEPENDENCIAS,SECRETARÍA DE MEDIO AMBIENTE DEL DISTRITO FEDERAL,0,0,0,0,0,0,0,0,0,0,0,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,DEPENDENCIAS,SECRETARÍA DE MOVILIDAD DEL DISTRITO FEDERAL,0,0,0,0,"16,281","16,281","16,281","16,281",0,0,0,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,DEPENDENCIAS,SECRETARÍA DE PROTECCIÓN CIVIL DEL DISTRITO FEDERAL,"2,906,223","9,060,547","13,620,152","18,437,291","23,878,458","29,315,599","36,772,262","42,413,454",0,0,0,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,DEPENDENCIAS,SECRETARÍA DE SALUD DEL DISTRITO FEDERAL,0,0,0,0,79,79,79,79,0,0,0,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,DEPENDENCIAS,SECRETARÍA DE SEGURIDAD PÚBLICA DEL DISTRITO FEDERAL,"654,799,151","1,472,384,641","2,436,472,762","3,537,570,019","4,709,766,705","5,759,236,581","6,906,731,214","8,053,278,016",0,0,0,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,DEPENDENCIAS,SECRETARÍA DE TURISMO DEL DISTRITO FEDERAL,0,0,0,0,0,0,0,0,0,0,0,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,DEPENDENCIAS,SECRETARÍA DEL TRABAJO Y FOMENTO AL EMPLEO DEL DISTRITO FEDERAL,0,0,0,0,0,0,0,0,0,0,0,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,ÓRGANOS DE GOBIERNO Y AUTÓNOMOS,TRIBUNAL SUPERIOR DE JUSTICIA DEL DISTRITO FEDERAL,0,0,0,0,0,"3,702,904","3,702,904","3,948,925",0,0,0,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,ÓRGANOS DESCONCENTRADOS,AGENCIA DE GESTIÓN URBANA DE LA CIUDAD DE MÉXICO,0,0,0,0,0,0,0,0,0,0,0,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,ÓRGANOS DESCONCENTRADOS,AGENCIA DE PROTECCIÓN SANITARIA DEL GOBIERNO DEL DISTRITO FEDERAL,0,0,0,0,0,0,0,0,0,0,0,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,ÓRGANOS DESCONCENTRADOS,"AUTORIDAD DE LA ZONA PATRIMONIO MUNDIAL NATURAL Y CULTURAL DE LA HUMANIDAD EN XOCHIMILCO, TLÁHUAC Y MILPA ALTA",0,0,0,0,0,0,0,0,0,0,0,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,ÓRGANOS DESCONCENTRADOS,AUTORIDAD DEL CENTRO HISTÓRICO,0,0,0,0,0,0,0,0,0,0,0,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,ÓRGANOS DESCONCENTRADOS,AUTORIDAD DEL ESPACIO PÚBLICO DEL DISTRITO FEDERAL,0,0,0,0,0,0,"4,898","4,898",0,0,0,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,ÓRGANOS DESCONCENTRADOS,CENTRO DE ATENCIÓN A EMERGENCIAS Y PROTECCIÓN CIUDADANA DE LA  CIUDAD DE MÉXICO,"5,091,542","13,977,249","24,391,814","32,897,288","39,358,982","152,469,360","457,642,932","663,278,876",0,0,0,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,ÓRGANOS DESCONCENTRADOS,COORDINACIÓN DE LOS CENTROS DE TRANSFERENCIA MODAL DEL DISTRITO FEDERAL,0,0,0,0,0,0,0,0,0,0,0,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,ÓRGANOS DESCONCENTRADOS,INSTITUTO DE FORMACIÓN PROFESIONAL,0,0,0,0,0,0,0,0,0,0,0,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,ÓRGANOS DESCONCENTRADOS,INSTITUTO TÉCNICO DE FORMACIÓN POLICIAL,"7,011,379","16,743,740","27,380,753","36,959,874","48,060,307","58,158,643","69,342,705","78,917,191",0,0,0,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,ÓRGANOS DESCONCENTRADOS,PLANTA DE ASFALTO DEL DISTRITO FEDERAL,0,0,0,0,0,0,0,0,0,0,0,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,ÓRGANOS DESCONCENTRADOS,POLICÍA AUXILIAR DEL DISTRITO FEDERAL,"437,527,567","778,331,590","1,221,891,983","1,614,319,115","2,006,514,432","2,425,127,658","2,895,716,973","3,297,806,097",0,0,0,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,ÓRGANOS DESCONCENTRADOS,POLICÍA BANCARIA E INDUSTRIAL DEL DISTRITO FEDERAL,"211,858,554","453,433,759","687,514,672","933,259,598","1,200,037,433","1,446,894,303","1,710,736,042","1,978,354,752",0,0,0,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,ÓRGANOS DESCONCENTRADOS,PROYECTO METRO DEL DISTRITO FEDERAL,0,0,0,210,473,473,473,473,0,0,0,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,ÓRGANOS DESCONCENTRADOS,SECRETARÍA EJECUTIVA DEL MECANISMO DE SEGUIMIENTO Y EVALUACIÓN DEL PROGRAMA DE DERECHOS HUMANOS DEL DISTRITO FEDERAL,0,0,0,138,138,"13,940","13,940","19,551",0,0,0,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,ÓRGANOS DESCONCENTRADOS,SISTEMA DE AGUAS DE LA CIUDAD DE MÉXICO,0,0,0,0,0,0,"22,968","22,968",0,0,0,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,ÓRGANOS DESCONCENTRADOS,SISTEMA DE RADIO Y TELEVISIÓN DIGITAL DEL GOBIERNO DEL DISTRITO FEDERAL,0,0,0,0,0,"22,202","22,202","22,202",0,0,0,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,SECTOR PARAESTATAL (ENTIDADES / ORGANISMOS),CAJA DE PREVISIÓN DE LA POLICÍA AUXILIAR DEL DISTRITO FEDERAL,0,0,0,0,0,0,"99,180","99,180",0,0,0,0
