FUNCIÓN_DENOMINACIÓN,TIPO_URG,CENTRO_GESTOR,MES_1,MES_2,MES_3,MES_4,MES_5,MES_6,MES_7,MES_8,MES_9,MES_10,MES_11,MES_12,EJERCIDO_ENERO_AGOSTO
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,DEPENDENCIAS,SECRETARÍA DE TURISMO DEL DISTRITO FEDERAL,,,,,,,,,,,,,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,DEPENDENCIAS,SECRETARÍA DEL TRABAJO Y FOMENTO AL EMPLEO DEL DISTRITO FEDERAL,,,,,,,,,,,,,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,ÓRGANOS DE GOBIERNO Y AUTÓNOMOS,TRIBUNAL SUPERIOR DE JUSTICIA DEL DISTRITO FEDERAL,,,,,,,,,,,,,"3,948,925"
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,ÓRGANOS DESCONCENTRADOS,AGENCIA DE GESTIÓN URBANA DE LA CIUDAD DE MÉXICO,,,,,,,,,,,,,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,ÓRGANOS DESCONCENTRADOS,AGENCIA DE PROTECCIÓN SANITARIA DEL GOBIERNO DEL DISTRITO FEDERAL,,,,,,,,,,,,,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,ÓRGANOS DESCONCENTRADOS,"AUTORIDAD DE LA ZONA PATRIMONIO MUNDIAL NATURAL Y CULTURAL DE LA HUMANIDAD EN XOCHIMILCO, TLÁHUAC Y MILPA ALTA",,,,,,,,,,,,,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,ÓRGANOS DESCONCENTRADOS,AUTORIDAD DEL CENTRO HISTÓRICO,,,,,,,,,,,,,0
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,ÓRGANOS DESCONCENTRADOS,AUTORIDAD DEL ESPACIO PÚBLICO DEL DISTRITO FEDERAL,,,,,,,,,,,,,"4,898"
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,ÓRGANOS DESCONCENTRADOS,CENTRO DE ATENCIÓN A EMERGENCIAS Y PROTECCIÓN CIUDADANA DE LA  CIUDAD DE MÉXICO,,,,,,,,,,,,,"663,278,876"
ASUNTOS DE ORDEN PUBLICO Y DE SEGURIDAD INTERIOR,ÓRGANOS DESCONCENTRADOS,COORDINACIÓN DE LOS CENTROS DE TRANSFERENCIA MODAL DEL DISTRITO FEDERAL,,,,,,,,,,,,,0
